Time_Hour,8,101,189,159,223,84,146,192,53,69,116,8A,101A,189A,159A,223A,84A,146A,192A,53A,69A,116A
14.176945,0.23175,0.21855,0.26335,0.15785,0.14035,0.2727,0.37285,0.2989,0.0913,0.2485,0.3373,0.11215,0.28445,0.19175,0.14625,0.11315,0.13745,0.09695,0.3008,0.1301,0.41355,0.21515
14.343611,0.2378,0.22225,0.26265,0.1547,0.1402,0.2729,0.3728,0.29445,0.09765,0.256,0.3406,0.10845,0.28135,0.1976,0.1469,0.1149,0.1396,0.0957,0.301,0.1325,0.4233,0.21855
14.510556,0.23985,0.2206,0.25865,0.15635,0.13485,0.26705,0.367,0.28765,0.09545,0.25135,0.3392,0.1111,0.2885,0.21075,0.1481,0.11965,0.1418,0.09825,0.30295,0.13205,0.42175,0.21835
14.6775,0.2371,0.21675,0.26215,0.1583,0.1363,0.27415,0.36925,0.29365,0.09485,0.25475,0.34135,0.1143,0.2911,0.21935,0.15335,0.1195,0.14425,0.09655,0.30425,0.1323,0.4258,0.2263
14.844445,0.23905,0.2212,0.26435,0.1551,0.1368,0.2675,0.3687,0.29075,0.09705,0.25285,0.34135,0.11525,0.2905,0.2236,0.152,0.1198,0.1427,0.0954,0.30355,0.1336,0.4267,0.2279
15.011389,0.23265,0.21475,0.26455,0.1623,0.14125,0.26455,0.36455,0.2859,0.0923,0.24905,0.3386,0.1144,0.2878,0.22665,0.152,0.11665,0.14445,0.0969,0.3046,0.1314,0.425,0.23205
15.178056,0.23335,0.21545,0.26305,0.15515,0.1343,0.27135,0.364,0.29465,0.0894,0.25175,0.3407,0.11585,0.28925,0.2324,0.15395,0.12115,0.13875,0.09335,0.30375,0.13035,0.42795,0.23845
15.344723,0.2339,0.21675,0.262,0.1585,0.1415,0.2694,0.36835,0.2945,0.08465,0.246,0.33845,0.11575,0.28795,0.2366,0.1513,0.1183,0.1431,0.10045,0.3091,0.12785,0.4243,0.2418
15.511389,0.23245,0.2153,0.26195,0.1595,0.13955,0.27095,0.3659,0.29475,0.0841,0.2465,0.34005,0.1173,0.2889,0.2439,0.15275,0.12085,0.14905,0.1037,0.3117,0.1314,0.4286,0.24595
15.677778,0.22915,0.2178,0.26235,0.15715,0.1415,0.2666,0.3628,0.2884,0.0919,0.2476,0.33885,0.11255,0.28475,0.2427,0.15035,0.1182,0.14415,0.09475,0.30445,0.13285,0.4328,0.25065
15.844445,0.23055,0.2206,0.25585,0.15135,0.1357,0.2681,0.35885,0.2923,0.0886,0.2499,0.34065,0.1113,0.28245,0.2501,0.14915,0.1234,0.1436,0.09585,0.30855,0.13195,0.43365,0.25475
16.011111,0.23125,0.2205,0.2566,0.15075,0.1363,0.2673,0.3613,0.28885,0.0829,0.245,0.34095,0.11275,0.28385,0.255,0.148,0.12245,0.14935,0.1024,0.3124,0.1313,0.43005,0.2562
16.178056,0.2275,0.2179,0.2607,0.1579,0.1394,0.26815,0.36105,0.28985,0.08875,0.2492,0.34465,0.11395,0.28495,0.25255,0.1536,0.12515,0.15,0.1048,0.3158,0.1337,0.43495,0.26035
16.344723,0.2322,0.22065,0.25695,0.1484,0.13885,0.268,0.3563,0.29095,0.08885,0.2485,0.34555,0.11675,0.28525,0.25995,0.1504,0.12285,0.14575,0.09515,0.30735,0.1314,0.4366,0.26165
16.511667,0.22665,0.2175,0.259,0.1561,0.1398,0.2658,0.3591,0.28675,0.08865,0.24695,0.34675,0.1175,0.2859,0.2583,0.1534,0.12445,0.14925,0.09965,0.3114,0.1324,0.4388,0.2649
16.678334,0.2283,0.21695,0.2562,0.15135,0.1414,0.2673,0.356,0.29175,0.0825,0.2484,0.34405,0.113,0.282,0.2609,0.1502,0.12345,0.1467,0.0954,0.30915,0.1288,0.4369,0.27025
16.845,0.22845,0.2219,0.2548,0.14765,0.1359,0.2632,0.35715,0.2873,0.08625,0.24525,0.3442,0.11295,0.28095,0.2603,0.15145,0.13055,0.1504,0.0996,0.31225,0.1326,0.4411,0.27055
17.011945,0.22855,0.22175,0.2559,0.14745,0.1366,0.2723,0.3532,0.2883,0.0824,0.2471,0.3466,0.11465,0.28315,0.2615,0.15045,0.124,0.14955,0.10405,0.3173,0.13265,0.44185,0.274
17.178889,0.22805,0.22,0.2543,0.14735,0.13505,0.2688,0.3572,0.29095,0.0778,0.24405,0.3455,0.1143,0.28065,0.26235,0.15265,0.1289,0.15395,0.1052,0.31905,0.132,0.44085,0.2776
